hour_of_day,day_of_week,bus_id,stop_id,historic_fullness
2,1,3,1,20.54
2,5,3,2,31.49
12,3,2,3,54.04
5,2,2,3,18.01
18,4,1,1,87.77
4,1,3,1,25.16
21,0,2,4,40.95
21,3,2,5,17.28
14,3,2,2,55.49
16,0,2,4,38.47
3,2,3,5,0.0
15,4,3,3,25.53
1,1,2,5,0.0
1,0,1,3,22.84
6,6,1,3,35.74
9,2,1,1,87.02
15,5,2,2,40.59
4,3,3,2,38.03
16,4,3,3,18.96
2,3,3,1,6.37
13,0,2,1,44.56
10,4,2,5,28.07
12,5,3,4,19.74
9,0,2,1,53.46
10,1,3,4,24.29
22,2,1,4,24.56
3,1,2,5,15.36
12,4,1,4,42.93
9,5,2,2,57.48
10,6,1,1,30.89
16,5,1,5,11.53
16,1,2,3,34.5
23,6,3,2,37.64
7,0,1,3,62.11
6,1,3,2,44.03
20,0,1,4,65.76
14,6,3,5,8.66
14,5,3,5,14.14
10,6,3,3,11.72
4,3,1,4,15.57
14,5,2,3,20.42
18,0,2,5,75.72
2,2,2,4,15.28
1,0,2,3,14.4
2,5,1,5,6.71
19,4,2,4,64.1
18,4,3,1,68.23
14,6,3,2,39.91
10,4,2,5,31.06
4,0,2,1,20.76
10,5,1,5,15.39
20,1,1,2,82.8
22,3,2,5,6.58
16,4,1,3,27.88
11,2,2,4,45.93
10,5,3,1,38.16
20,5,2,1,63.01
10,0,3,4,29.61
9,2,3,5,52.49
4,2,1,5,39.63
21,1,2,3,43.96
20,5,3,4,48.98
4,4,3,1,12.36
9,4,2,3,52.15
4,5,3,5,0.0
2,5,3,4,0.0
16,2,1,3,28.62
9,1,1,3,64.83
15,1,1,2,46.35
4,0,2,1,38.5
16,6,3,5,17.05
1,5,2,5,0.0
4,4,2,2,41.84
5,1,3,5,5.62
5,5,2,1,8.11
13,2,3,2,57.18
14,4,2,4,39.31
7,4,1,3,61.7
15,6,1,3,33.48
21,4,2,4,23.0
9,6,2,5,33.94
16,3,1,2,57.41
19,1,2,1,90.28
20,3,2,5,48.81
3,5,3,1,14.5
9,0,1,3,64.79
14,4,1,4,36.1
2,1,2,3,15.26
0,3,1,4,13.09
16,2,1,4,35.39
2,2,1,1,23.35
10,0,3,3,32.16
4,1,1,3,24.6
15,5,1,4,28.09
14,4,1,1,42.74
0,2,1,2,30.39
17,5,3,5,51.04
13,0,2,2,54.01
9,0,1,2,72.18
13,5,3,4,20.79
2,0,2,5,16.01
17,0,3,5,41.64
18,1,3,2,79.35
9,3,1,5,54.7
11,1,3,4,34.56
5,5,3,1,3.89
16,2,1,5,15.56
17,4,3,5,41.98
0,3,2,1,25.38
20,3,2,3,72.08
23,0,2,1,32.77
11,1,3,1,45.11
18,5,2,2,56.71
1,2,3,3,14.47
20,1,3,4,50.31
22,3,3,2,34.79
4,0,3,4,10.38
1,2,1,1,23.12
6,0,2,3,31.92
16,3,3,4,33.05
8,0,3,2,65.38
9,2,1,3,76.69
8,0,2,4,50.96
12,5,2,4,29.24
10,1,2,4,41.53
11,6,3,3,5.23
2,5,2,1,8.62
13,4,1,5,39.62
9,2,1,1,73.38
10,5,2,3,27.97
14,4,3,4,25.17
5,5,2,3,10.69
14,0,3,3,33.75
19,3,2,1,84.34
2,5,3,4,2.04
11,4,3,2,47.7
0,1,3,4,6.7
1,1,1,2,31.1
20,2,2,4,61.54
18,0,3,2,78.16
21,3,2,3,31.63
14,6,1,5,27.32
4,4,2,4,31.6
10,5,2,2,41.97
3,0,3,2,22.39
15,4,2,5,39.61
3,2,2,4,11.74
6,4,2,4,13.7
6,0,1,1,36.94
14,1,3,4,15.03
2,6,3,3,2.19
21,2,3,1,35.15
17,4,2,3,83.41
5,5,3,2,17.62
11,4,1,1,48.25
6,6,1,2,46.64
15,0,2,5,12.31
18,2,2,5,61.88
4,4,1,1,36.17
9,3,3,4,43.17
16,3,2,5,34.15
2,1,2,1,27.71
14,3,3,5,21.68
11,1,3,5,30.06
5,6,1,4,28.17
16,6,1,1,36.45
16,1,2,2,46.99
5,2,3,2,21.33
11,4,2,1,38.2
8,1,3,5,56.64
8,1,3,3,53.15
19,4,1,5,65.57
20,1,3,5,51.18
4,1,3,5,8.83
23,4,2,5,27.67
1,6,1,1,28.3
1,5,3,3,0.92
20,1,3,4,57.84
19,5,1,4,52.17
20,4,2,3,66.45
15,1,3,4,33.02
9,3,1,1,81.06
5,3,2,4,7.62
14,1,2,5,36.96
4,2,3,3,25.85
23,6,2,4,23.31
4,6,2,5,15.01
17,0,2,2,73.81
14,0,2,4,25.04
7,1,1,1,60.77
9,3,3,4,66.97
7,6,1,3,65.23
18,5,2,2,69.56
5,3,3,4,12.24
15,2,2,1,36.0
2,3,3,4,29.57
7,1,3,3,61.03
1,0,2,4,15.88
19,6,3,4,55.81
9,4,1,1,78.85
13,1,2,3,41.79
12,2,1,4,33.68
1,4,3,2,28.77
11,4,2,1,60.06
12,4,2,5,40.76
8,6,3,5,52.75
3,1,1,4,15.91
11,6,2,5,12.08
11,6,1,2,43.99
19,4,2,5,60.45
1,0,1,2,43.75
22,2,2,5,11.46
14,1,3,5,37.24
4,2,3,3,13.74
5,3,3,3,11.58
18,2,3,5,46.9
17,3,3,5,41.76
9,3,1,3,76.59
10,5,1,4,25.59
18,2,3,1,59.68
19,3,2,5,49.64
18,1,3,1,67.31
18,3,1,5,78.35
20,5,3,4,47.92
4,6,3,2,2.97
1,4,3,1,18.03
6,0,2,3,32.82
13,1,2,2,28.42
13,4,3,4,29.57
23,5,1,2,38.15
16,1,3,3,35.57
21,3,3,4,39.79
10,1,2,5,34.01
10,4,2,3,32.85
19,3,1,2,76.15
8,4,2,2,95.59
9,6,2,2,65.47
22,5,2,3,25.11
15,2,3,3,34.81
9,0,3,5,51.58
12,3,2,2,48.85
9,0,2,1,65.41
11,3,3,3,30.63
23,3,1,2,49.74
17,2,3,3,60.65
4,0,3,5,0.0
7,1,1,5,60.85
7,5,1,1,62.96
3,3,2,4,27.03
3,5,1,1,0.0
17,1,2,4,73.73
15,5,1,3,44.97
10,2,3,1,18.41
2,5,3,2,12.26
17,5,3,1,57.03
5,3,1,1,18.74
12,6,2,2,33.78
23,6,2,1,21.12
0,2,3,5,19.02
3,2,2,4,22.49
20,4,3,4,70.17
4,6,3,4,5.77
8,1,1,3,60.97
5,5,2,3,5.8
22,1,1,3,43.91
9,4,3,2,60.22
5,4,3,4,15.7
13,4,2,1,43.08
12,5,1,2,42.0
4,3,2,2,35.69
0,2,2,2,33.55
14,6,2,3,27.11
9,4,3,5,59.27
0,2,3,3,6.35
22,1,1,1,49.93
14,2,1,4,44.74
21,4,3,3,27.52
22,0,3,3,32.61
11,4,1,2,44.99
4,3,1,4,27.39
23,4,2,4,28.52
22,4,2,5,20.82
21,6,1,2,48.39
21,6,3,1,19.37
16,3,3,3,18.73
2,4,1,1,17.55
17,4,1,5,69.85
17,1,1,3,64.76
16,3,1,2,64.04
22,4,2,1,23.34
16,3,1,4,48.57
4,4,2,4,16.69
18,0,3,4,59.23
21,6,2,1,25.64
12,2,1,2,58.19
18,0,1,4,69.7
11,5,1,5,33.83
1,0,2,1,25.91
9,3,1,2,81.2
20,5,3,4,47.09
11,3,2,4,34.54
12,0,3,5,27.46
4,5,2,1,1.32
5,4,2,5,0.0
4,5,1,1,25.95
0,2,2,5,11.37
13,4,2,2,48.53
7,3,2,2,75.15
8,1,3,1,67.78
1,6,3,4,0.0
19,6,1,2,68.77
6,0,1,5,31.57
1,3,3,1,12.17
7,5,1,4,58.27
14,1,3,2,31.38
1,1,3,3,23.23
7,6,3,5,43.78
10,4,3,3,32.05
7,2,1,5,67.86
7,3,2,3,78.32
1,4,3,2,33.11
20,5,2,5,35.27
15,0,2,4,24.76
16,2,3,4,20.0
13,1,2,4,35.21
5,6,3,4,4.14
7,6,1,3,54.19
22,1,2,1,41.49
17,3,2,5,53.96
16,1,2,2,40.11
8,1,2,1,58.75
14,6,2,1,27.61
17,5,1,1,59.19
8,3,3,5,42.19
19,0,1,2,93.43
18,5,3,5,37.4
6,3,1,3,61.06
9,0,1,2,83.95
23,0,3,4,26.48
7,5,3,2,53.13
12,1,3,3,40.6
9,3,2,5,50.39
20,2,2,3,70.98
11,4,2,4,55.48
3,6,3,4,0.0
10,1,2,3,44.19
13,0,3,2,39.37
23,1,1,3,39.72
17,4,3,4,74.17
9,1,1,3,64.98
7,3,3,2,84.5
15,4,3,3,40.66
8,6,2,4,45.5
14,1,3,3,40.06
5,1,3,5,12.78
15,1,3,1,44.97
16,0,1,1,32.44
0,3,1,2,29.18
2,5,1,1,18.02
6,4,2,3,34.4
1,4,3,5,9.97
15,5,2,1,36.42
0,4,3,4,0.0
0,0,3,3,18.04
17,2,1,5,69.88
22,5,2,2,39.48
3,0,3,2,33.65
7,1,3,5,56.67
8,6,2,3,58.67
12,0,2,4,34.44
14,4,1,2,41.71
9,5,1,1,68.44
2,3,2,4,16.66
17,3,1,1,82.17
22,1,1,4,24.79
13,5,2,5,11.35
3,4,1,2,43.43
6,6,3,5,9.68
15,2,1,1,55.45
21,2,3,5,20.23
21,0,1,3,40.24
0,1,3,2,32.51
22,6,2,1,25.87
9,1,3,2,70.77
18,6,2,5,46.3
10,3,3,2,36.52
22,5,1,5,17.53
23,2,1,1,46.78
13,1,1,3,41.17
19,6,3,5,55.05
12,6,2,1,27.84
20,2,2,4,63.51
7,2,3,4,51.48
13,1,3,5,36.58
21,3,1,5,31.57
9,6,1,1,73.25
2,2,1,4,8.12
22,6,3,2,32.14
23,3,2,3,42.12
3,0,1,3,25.66
14,2,2,1,53.52
4,0,1,4,15.86
14,4,3,5,36.27
13,0,1,1,68.39
11,4,1,5,32.1
19,6,2,4,51.44
0,2,2,4,26.63
2,5,3,2,27.64
18,4,1,4,65.82
5,1,2,3,16.64
8,3,1,1,72.75
5,3,2,4,4.24
9,3,1,3,62.65
8,1,3,4,46.97
19,4,1,4,63.86
3,1,2,1,24.72
12,2,3,4,31.87
10,3,2,4,42.4
20,4,1,3,67.01
10,4,3,2,47.87
15,2,1,4,38.29
10,2,3,4,24.6
18,6,1,3,70.4
12,2,2,3,31.02
3,4,1,5,18.06
17,1,3,5,56.33
0,5,2,2,23.94
14,6,2,1,37.31
13,5,2,2,59.64
20,2,1,3,69.9
21,1,3,4,20.75
12,0,2,5,25.01
15,4,2,5,25.56
16,6,3,4,9.9
17,0,2,5,69.51
19,5,1,1,81.36
7,5,3,3,45.43
5,5,3,1,3.34
18,5,3,4,53.77
10,6,2,1,25.58
0,0,2,2,35.06
16,5,3,5,11.62
18,5,3,2,52.87
14,2,2,4,47.38
21,4,3,5,34.37
4,2,1,4,15.1
3,2,2,1,21.9
3,6,3,2,17.29
11,2,2,4,37.68
6,4,2,3,40.27
15,0,2,4,51.08
10,0,2,1,38.58
22,0,1,3,33.61
20,0,3,2,63.97
23,1,3,2,34.15
17,1,2,5,59.73
13,3,1,4,54.36
20,1,1,4,65.86
12,0,3,5,26.79
6,3,3,4,24.87
12,0,3,2,54.51
6,2,3,1,55.22
18,0,3,2,70.75
11,2,1,4,36.08
3,2,3,4,18.35
16,5,2,5,20.46
12,4,2,5,44.77
3,2,2,4,19.67
19,1,3,3,62.13
19,4,1,2,89.73
10,0,1,3,48.87
3,1,2,2,36.56
16,3,2,5,29.06
4,4,2,4,23.53
5,3,3,5,14.35
22,5,1,5,31.06
5,3,2,2,35.19
5,2,2,5,8.66
1,6,2,1,16.17
15,1,1,4,49.65
17,4,3,4,53.46
13,5,2,4,27.95
22,6,2,4,16.85
5,0,3,1,20.23
7,2,1,3,80.23
7,4,2,2,76.53
14,4,3,4,30.37
17,4,1,5,54.12
3,2,3,3,20.97
17,6,1,4,65.16
17,1,2,1,92.31
23,6,3,2,27.54
9,6,1,4,56.75
8,2,1,4,67.0
3,6,1,2,37.62
23,4,3,3,29.24
22,4,3,4,27.23
5,4,1,2,39.86
6,6,1,5,21.49
11,4,2,5,26.43
17,1,2,3,71.55
9,4,2,5,63.59
21,6,1,2,31.79
13,0,2,2,51.06
22,6,1,2,34.4
4,5,2,2,29.56
21,3,2,2,32.81
18,5,2,4,50.53
12,3,1,1,53.02
12,4,3,3,47.52
22,2,2,4,29.47
10,4,1,1,40.56
23,3,3,3,45.05
2,6,3,4,0.0
6,3,1,4,17.41
8,2,2,3,68.52
17,4,1,5,60.98
15,6,2,1,26.83
1,0,3,4,15.67
0,0,1,4,21.95
14,0,2,2,45.49
22,1,3,3,19.76
5,6,2,1,21.98
20,2,2,1,80.2
11,5,3,2,34.21
1,3,3,3,29.77
23,5,1,4,16.44
20,0,3,1,57.8
0,1,2,1,19.46
4,4,1,5,14.64
21,3,1,1,46.95
22,2,1,4,33.07
22,1,2,1,42.82
7,3,1,1,64.99
3,2,2,3,31.55
4,3,1,2,34.34
2,4,3,1,28.94
19,5,1,4,62.74
11,5,1,2,48.65
13,4,3,4,34.56
6,0,1,2,53.58
3,4,3,4,15.14
11,3,2,2,60.63
7,2,3,1,66.57
7,4,3,5,55.67
23,4,2,1,39.28
21,2,1,5,41.52
19,4,1,4,64.59
9,5,1,2,84.41
15,3,1,2,54.68
15,5,3,1,18.55
16,0,2,3,36.02
4,3,3,4,4.55
11,4,3,2,51.73
15,6,1,1,34.78
18,0,1,3,71.43
6,0,1,4,19.88
16,2,3,5,16.38
13,3,3,4,10.61
2,5,3,5,0.0
19,1,2,1,81.08
9,0,3,2,76.29
4,4,2,4,18.4
18,5,3,1,52.26
9,5,2,2,64.62
1,1,1,4,19.97
3,3,3,5,0.0
1,2,3,2,37.03
3,0,3,2,32.02
22,0,1,4,33.23
11,4,3,3,35.22
5,2,1,3,26.67
23,0,1,3,23.67
13,2,3,1,38.02
8,5,3,1,49.54
15,3,3,3,26.99
1,3,3,2,22.75
11,1,2,1,59.38
18,5,3,1,65.13
7,5,3,1,50.43
1,6,1,2,29.58
1,3,2,4,26.19
4,1,1,5,22.4
22,5,3,4,15.48
7,2,1,4,59.82
23,2,2,1,45.59
18,2,1,5,68.15
21,0,1,2,57.16
16,0,2,1,45.08
14,6,2,3,38.4
10,0,3,4,20.72
0,2,1,3,35.54
18,6,2,5,51.58
7,3,2,5,71.6
15,6,1,5,19.49
7,1,1,4,78.89
0,1,3,3,16.58
20,6,3,1,54.79
10,0,3,4,21.13
23,5,2,1,27.44
6,4,1,4,38.39
15,0,1,3,49.18
2,0,1,5,10.41
13,5,2,4,24.81
23,0,3,1,52.14
16,1,3,4,38.82
2,4,3,1,23.49
13,5,1,2,45.3
9,2,2,4,60.96
22,6,3,3,24.91
10,3,2,2,36.82
2,1,1,5,12.94
3,1,1,2,21.65
14,3,2,4,38.19
3,4,2,2,35.18
14,2,2,3,36.13
3,0,1,3,37.59
22,5,3,1,15.19
6,6,2,2,23.29
2,5,1,3,16.8
12,4,1,3,53.38
8,6,1,1,78.47
12,6,2,5,16.33
23,4,1,1,53.63
14,0,1,1,49.69
0,0,1,2,33.62
6,6,2,3,32.07
21,5,3,1,30.22
18,4,2,1,62.39
0,0,1,4,31.81
4,0,2,1,36.04
1,3,1,2,30.0
18,3,3,4,63.17
15,0,2,4,38.95
5,2,1,2,37.09
8,2,2,2,70.6
1,4,3,5,0.0
7,5,2,4,49.8
13,4,2,1,54.38
2,2,2,2,34.35
13,1,3,5,22.04
7,5,3,1,61.17
12,6,3,3,2.21
15,4,2,3,49.19
18,4,2,4,51.08
8,1,1,3,67.1
19,1,1,3,66.04
1,6,2,5,0.0
11,6,3,2,44.29
5,0,1,2,31.26
8,4,3,1,67.77
7,4,2,3,64.62
5,1,1,5,18.82
10,6,3,3,20.61
18,0,3,3,54.74
18,4,1,5,72.97
6,6,2,5,11.05
9,1,2,1,57.55
2,0,1,5,11.58
7,0,3,4,67.01
0,2,3,2,31.8
4,2,3,2,22.21
10,0,1,2,47.21
18,5,1,1,67.43
16,6,2,1,46.61
11,5,3,4,23.06
18,0,2,3,73.44
10,1,1,4,43.24
20,3,3,3,66.91
5,5,3,5,0.0
11,1,3,5,23.43
5,3,2,3,19.43
4,1,3,1,19.7
22,4,2,5,30.82
1,1,3,3,15.42
19,1,3,5,60.86
3,3,1,3,24.35
23,0,1,3,40.63
10,1,3,1,19.01
22,5,3,3,27.33
14,0,2,2,52.77
7,5,1,3,67.98
8,6,1,1,41.83
1,3,2,4,31.71
5,3,2,4,13.88
11,4,2,1,53.87
15,6,3,2,26.68
5,3,1,1,34.9
9,0,2,3,56.57
3,0,2,2,25.01
12,1,3,1,55.31
17,0,2,5,58.47
19,3,3,1,71.74
13,5,1,5,31.96
13,1,1,1,53.97
10,1,1,4,36.2
22,4,3,5,22.92
8,5,2,3,74.23
7,0,1,4,64.54
18,4,2,2,81.61
1,2,1,4,28.41
2,2,3,5,13.84
15,1,1,1,59.5
6,1,3,3,35.11
2,3,1,3,15.86
12,3,2,3,53.07
2,5,3,4,0.0
5,2,2,3,22.42
5,3,1,3,18.97
14,3,2,2,49.49
8,4,1,2,82.63
22,5,1,1,37.57
21,2,3,4,28.38
18,1,3,1,82.91
12,6,3,4,23.63
17,5,2,5,48.05
7,3,2,1,77.71
12,6,3,1,39.52
16,4,3,5,10.18
21,4,1,1,49.78
14,1,1,2,60.61
6,1,1,4,32.62
2,5,2,2,31.01
20,1,3,3,63.8
10,5,1,1,36.0
12,4,2,5,28.62
10,6,2,5,15.12
14,6,1,5,16.23
18,4,2,1,63.48
13,1,1,5,47.76
18,4,1,1,73.22
18,6,1,3,57.07
17,2,2,3,52.77
12,5,2,5,14.89
19,3,1,2,74.42
8,3,1,5,73.14
19,5,3,4,58.08
1,3,2,2,24.49
1,5,2,3,28.02
11,0,2,3,47.85
9,2,2,1,67.4
7,1,2,4,40.0
